time,measurement_type,pos_x,pos_y,theta
0.021,model,2.087014620714557,-1.6192086332012872,0.6317194451623884
0.031,model,2.0907144272757594,-1.6165009636302001,0.6316899952009136
0.071,model,2.0986978589952265,-1.6106594628843158,0.6316197881845029
0.101,model,2.0986980436826563,-1.6106592808000797,0.6316156157132402
0.121,model,2.0986981428297553,-1.6106591813816398,0.6316136100683465
0.131,model,2.09869818097592,-1.6106591431055273,0.6316128380847942
0.141,model,2.09869821151038,-1.6106591124555525,0.6316122199941615
0.151,model,2.098698234436633,-1.610659089433715,0.6316117557937084
0.161,model,2.0986982497387108,-1.610659074031025,0.6316114454824199
0.171,model,2.0986982574190485,-1.61065906624937,0.63161128906546
0.181,model,2.0986982583251685,-1.6106590653425195,0.6316112681959051
0.191,model,2.098698258334521,-1.6106590653421993,0.6316112683367565
0.301,model,2.0986982584373988,-1.6106590653386803,0.6316112698860347
0.311,model,2.0986982584467513,-1.6106590653383603,0.6316112700268784
0.321,model,2.098698258456104,-1.6106590653380402,0.6316112701677218
0.331,model,2.0986982584654563,-1.6106590653377202,0.6316112703085655
0.341,model,2.098698258474809,-1.6106590653374002,0.6316112704494088
0.501,model,2.0986982586244496,-1.6106590653322812,0.6316112727029047
0.551,model,2.098698258671212,-1.6106590653306818,0.6316112734071222
0.561,model,2.0986982586805647,-1.6106590653303618,0.6316112735479655
0.571,model,2.0986982586899168,-1.610659065330042,0.6316112736888093
0.581,model,2.0986982586992697,-1.6106590653297221,0.6316112738296525
0.591,model,2.0986982587086223,-1.6106590653294022,0.631611273970496
0.601,model,2.0986982587179748,-1.6106590653290824,0.6316112741113397
0.611,model,2.0986982587273273,-1.6106590653287625,0.631611274252183
0.621,model,2.09869825873668,-1.6106590653284427,0.6316112743930267
0.631,model,2.0986982587460323,-1.6106590653281228,0.6316112745338701
0.681,model,2.098698258792795,-1.6106590653265234,0.6316112752380876
0.741,model,2.09869825884891,-1.6106590653246038,0.6316112760831485
0.751,model,2.0986982588582626,-1.610659065324284,0.631611276223992
0.761,model,2.098698258867615,-1.610659065323964,0.6316112763648355
0.771,model,2.0986982588769676,-1.6106590653236443,0.6316112765056789
0.781,model,2.09869825888632,-1.6106590653233244,0.6316112766465225
0.817,vicon,2.061041154225019,-1.6314667503404816,0.6325092895265796
0.791,model,2.0986982588956726,-1.6106590653230042,0.631611276787366
0.801,model,2.098698258905025,-1.6106590653226842,0.6316112769282094
0.811,model,2.0986982589143777,-1.6106590653223645,0.6316112770690531
0.821,model,2.09869825892373,-1.6106590653220447,0.6316112772098964
0.831,vicon,2.0608623197995035,-1.631438116145525,0.6328873216656761
0.856,vicon,2.060704584509543,-1.6314419266062652,0.6331817805084652
0.863,vicon,2.06064397568077,-1.6314481702667516,0.6333017294845714
0.874,vicon,2.06057775438256,-1.6314405686922235,0.6334058179536083
0.907,vicon,2.0603605655735686,-1.631437943935645,0.6338729090878461
0.913,vicon,2.0603058031741783,-1.6314749661501733,0.6340744098608877
0.923,vicon,2.060140517354318,-1.6315425023430925,0.634518441411942
0.931,model,2.098698259026608,-1.6106590653185258,0.6316112787591748
0.957,vicon,2.059946337688285,-1.6315713471950266,0.6350300303132809
0.985,vicon,2.0597597827343392,-1.6316481636945168,0.6355215267786135
1.01,vicon,2.05965135449399,-1.6316761865230218,0.6357920732427681
0.981,model,2.0986982590733705,-1.6106590653169264,0.6316112794633922
0.991,model,2.098698259082723,-1.6106590653166064,0.6316112796042358
1.001,model,2.0986982590920755,-1.6106590653162867,0.6316112797450792
1.011,model,2.098698259101428,-1.6106590653159667,0.6316112798859228
1.021,model,2.0986982591107806,-1.610659065315647,0.6316112800267663
1.041,vicon,2.0594517414627482,-1.63173693687603,0.6362081020631376
1.051,vicon,2.059387049921429,-1.6317609286343486,0.6363498036961138
1.056,vicon,2.059320049625794,-1.6317961497549103,0.6365186109679467
1.062,vicon,2.0592285018085956,-1.6317940694825477,0.6366889857851628
1.096,vicon,2.0589649378742028,-1.6317717299091377,0.6371652250846637
1.109,vicon,2.0588617268680434,-1.6317881613236043,0.6373606979584544
1.12,vicon,2.0587622110930046,-1.631796789048182,0.6375717860410219
1.129,vicon,2.058656072867466,-1.6317769865449936,0.6377215209404634
1.1400000000000001,vicon,2.058580109862154,-1.631763394693781,0.637841111370951
1.152,vicon,2.0584911947056175,-1.63174798117797,0.6379057456157118
1.162,vicon,2.0583869636153813,-1.6317371276472639,0.6380368886148324
1.131,model,2.0986982592136583,-1.6106590653121278,0.6316112815760446
1.141,model,2.098698259223011,-1.6106590653118078,0.6316112817168882
1.151,model,2.0986982592323633,-1.610659065311488,0.6316112818577317
1.161,model,2.098698259241716,-1.610659065311168,0.6316112819985751
1.171,model,2.0986982592510683,-1.6106590653108483,0.6316112821394186
1.171,vicon,2.058291283044481,-1.6317450085373857,0.6381936740168385
