time,measurement_type,pos_x,pos_y,theta
0.01,model,-1.9687428965661608e-09,1.59280705862755e-07,-1.6286554043267215e-09
0.02,model,-1.9175421557388544e-09,7.034332742790211e-07,-4.499505677206357e-10
0.03,model,-1.8658805539729708e-09,1.5820458569982154e-06,7.393638433348942e-10
0.04,model,-1.8142189868655368e-09,2.795117744956524e-06,1.9286774538318807e-09
0.05,model,-1.7625574186326287e-09,4.342648937981527e-06,3.1179910875615845e-09
0.07,model,-1.6592342778331806e-09,8.441089239255646e-06,5.496618446755304e-09
0.09,model,-1.555911131544333e-09,1.387736676084261e-05,7.875245921613455e-09
0.1,model,-1.504249556280562e-09,1.7097194479240504e-05,9.064559703816902e-09
0.14,model,-1.2976032411131002e-09,3.332109840358493e-05,1.3821815130744265e-08
0.15,model,-1.2459416590654436e-09,3.821322264737028e-05,1.5011129055735733e-08
0.16,model,-1.1942800753720174e-09,4.3439806196215406e-05,1.620044301593777e-08
0.17,model,-1.142618490365346e-09,4.900084905013515e-05,1.7389757003695258e-08
0.27,model,-6.268935896977444e-10,0.0001230065393284635,2.9262385910974797e-08
0.28,model,-5.7537199247899e-10,0.0001322466345382077,3.0448477167039376e-08
0.29,model,-5.238503938876069e-10,0.00014182118905302647,3.163456845204096e-08
0.3,model,-4.723287939081955e-10,0.00015173020287292724,3.282065976633409e-08
0.31,model,-4.2080719253995047e-10,0.0001619736759978951,3.4006751109937265e-08
0.32,model,-3.692855898936146e-10,0.0001725516084279451,3.5192842480301085e-08
0.33,model,-3.1776398562837563e-10,0.00018346400016306224,3.637893388527146e-08
0.34,model,-2.662423801247549e-10,0.0001947108512032538,3.7565025316088315e-08
0.35,model,-2.1472077319505954e-10,0.00020629216154852758,3.8751116777072577e-08
0.36,model,-1.6319916491800323e-10,0.0002182079311988608,3.993720826641214e-08
0.37,model,-1.1167755518036463e-10,0.0002304581601542838,4.1123299786713544e-08
0.38,model,-6.015594423959224e-11,0.00024304284841478117,4.230939133204997e-08
0.44,model,2.4897375121858674e-10,0.000325574623384317,4.9425941234498616e-08
0.45,model,3.004953720175209e-10,0.00034050052678032903,5.061203298814393e-08
0.46,model,3.520169942899644e-10,0.00035576088948141576,5.179812477304865e-08
0.47,model,4.035386177659016e-10,0.00037135571148758415,5.298421658299667e-08
0.48,model,4.550602426228031e-10,0.0003872849927988274,5.4170308422073606e-08
0.49,model,5.06581869019161e-10,0.0004035487334151377,5.5356400293928133e-08
0.5,model,5.581034966203462e-10,0.00042014693333653006,5.654249219085665e-08
0.51,model,6.096251256815231e-10,0.00043707959256300446,5.772858411873339e-08
0.52,model,6.611467562826164e-10,0.000454346711094531,5.8914676079398345e-08
0.53,model,7.126683881328862e-10,0.0004719482889311472,6.010076806615825e-08
0.54,model,6.693373697076496e-10,0.0004896464705318724,-6.79657534759164e-08
0.55,model,6.667937312247187e-10,0.0005072466550557878,-4.310380395071056e-07
0.56,model,6.324010397610111e-10,0.000524748839579708,-1.0291157522147762e-06
0.57,model,5.661593569650773e-10,0.0005421530241036436,-1.8621991747725956e-06
0.58,model,4.68068644618743e-10,0.0005594592086275982,-2.9302887016220264e-06
