time,measurement_type,pos_x,pos_y,theta
0.01,model,-1.9687428965661608e-09,1.59280705862755e-07,-1.6286554043267215e-09
0.02,model,-1.9175421557388544e-09,7.034332742790211e-07,-4.499505677206357e-10
0.04,model,-1.8142189868655368e-09,2.795117744956524e-06,1.9286774538318807e-09
0.05,model,-1.7625574186326287e-09,4.342648937981527e-06,3.1179910875615845e-09
0.06,model,-1.7108958488624425e-09,6.224639436081499e-06,4.307304754004249e-09
0.07,model,-1.6592342778331806e-09,8.441089239255646e-06,5.496618446755304e-09
0.09,model,-1.555911131544333e-09,1.387736676084261e-05,7.875245921613455e-09
0.11,model,-1.4525879795234004e-09,2.0651481502713067e-05,1.0253873517722975e-08
0.12,model,-1.4009264014645602e-09,2.4540227831275017e-05,1.1443187358918214e-08
0.13,model,-1.3492648221129825e-09,2.8763433464888778e-05,1.2632501227196773e-08
0.14,model,-1.2976032411131002e-09,3.332109840358493e-05,1.3821815130744265e-08
0.15,model,-1.2459416590654436e-09,3.821322264737028e-05,1.5011129055735733e-08
0.16,model,-1.1942800753720174e-09,4.3439806196215406e-05,1.620044301593777e-08
0.2,model,-9.876337270845596e-10,6.769073344236443e-05,2.0957699141078365e-08
0.26,model,-6.784151855223674e-10,0.0001141009034237864,2.807629468434226e-08
0.27,model,-6.268935896977444e-10,0.0001230065393284635,2.9262385910974797e-08
0.28,model,-5.7537199247899e-10,0.0001322466345382077,3.0448477167039376e-08
0.29,model,-5.238503938876069e-10,0.00014182118905302647,3.163456845204096e-08
0.3,model,-4.723287939081955e-10,0.00015173020287292724,3.282065976633409e-08
0.31,model,-4.2080719253995047e-10,0.0001619736759978951,3.4006751109937265e-08
0.32,model,-3.692855898936146e-10,0.0001725516084279451,3.5192842480301085e-08
0.33,model,-3.1776398562837563e-10,0.00018346400016306224,3.637893388527146e-08
0.34,model,-2.662423801247549e-10,0.0001947108512032538,3.7565025316088315e-08
0.35,model,-2.1472077319505954e-10,0.00020629216154852758,3.8751116777072577e-08
0.36,model,-1.6319916491800323e-10,0.0002182079311988608,3.993720826641214e-08
0.37,model,-1.1167755518036463e-10,0.0002304581601542838,4.1123299786713544e-08
0.38,model,-6.015594423959224e-11,0.00024304284841478117,4.230939133204997e-08
0.39,model,-8.634331723263873e-12,0.00025596199598034564,4.349548291099505e-08
0.4,model,4.288728212300538e-11,0.0002692156028509848,4.468157451789441e-08
0.41,model,9.440889736385783e-11,0.00028280366902670603,4.586766615423619e-08
0.42,model,1.459305139452156e-10,0.0002967261945075017,4.705375781877547e-08
0.43,model,1.974521319461399e-10,0.0003109831792933646,4.823984951333233e-08
0.44,model,2.4897375121858674e-10,0.000325574623384317,4.9425941234498616e-08
0.45,model,3.004953720175209e-10,0.00034050052678032903,5.061203298814393e-08
0.46,model,3.520169942899644e-10,0.00035576088948141576,5.179812477304865e-08
0.48,model,4.550602426228031e-10,0.0003872849927988274,5.4170308422073606e-08
0.51,model,5.336678577608778e-10,0.0004370536420814997,4.3628702754705374e-08
0.52,model,5.534181163784105e-10,0.00045395317020374617,-1.549398947235262e-07
0.53,model,5.413192788169773e-10,0.00047075469832599104,-5.885137881530781e-07
