time,measurement_type,pos_x,pos_y,theta
0.06,model,-9.881991898267501e-09,-3.220668404331928e-08,1.0138488602080986e-09
0.07,model,-9.879144727649938e-09,-3.22112030522128e-08,1.0687167569934136e-09
0.09,model,-9.873450386395847e-09,-3.2220241070031375e-08,1.1784525509549965e-09
0.1,model,-9.870603215770387e-09,-3.2224760078938834e-08,1.2333204479179279e-09
0.11,model,-9.867756045129725e-09,-3.222927908787089e-08,1.2881883451823226e-09
0.12,model,-9.864908874506433e-09,-3.223379809677585e-08,1.3430562421204174e-09
0.13,model,-9.862061703895853e-09,-3.223831710566109e-08,1.3979241388220323e-09
0.14,model,-9.859214533262256e-09,-3.224283611458332e-08,1.4527920359757265e-09
0.15,model,-9.856367362642456e-09,-3.2247355123484124e-08,1.5076599328719569e-09
0.16,model,-9.853520192023553e-09,-3.225187413238397e-08,1.5625278297593335e-09
0.17,model,-9.85067302140626e-09,-3.2256393141281725e-08,1.617395726624245e-09
0.18,model,-9.847825850790321e-09,-3.226091215017779e-08,1.6722636234714872e-09
0.28,model,-9.819354144697645e-09,-3.230610223905828e-08,2.2209425911247776e-09
0.29,model,-9.816506974107218e-09,-3.2310621247918985e-08,2.275810487573632e-09
0.3,model,-9.813659803507812e-09,-3.2315140256794416e-08,2.330678384204006e-09
0.31,model,-9.81081263290637e-09,-3.2319659265673526e-08,2.3855462808820763e-09
0.32,model,-9.807965462309462e-09,-3.232417827454592e-08,2.440414177481257e-09
0.33,model,-9.805118291710534e-09,-3.2328697283421986e-08,2.495282074127919e-09
0.34,model,-9.802271121116149e-09,-3.23332162922913e-08,2.5501499706954343e-09
0.37,model,-9.793729609337876e-09,-3.23467733188943e-08,2.7147536603546803e-09
0.38,model,-9.790882438744636e-09,-3.2351292327763664e-08,2.76962155693407e-09
0.39,model,-9.788035268157175e-09,-3.235581133662433e-08,2.8244894534106016e-09
0.4,model,-9.785188097552594e-09,-3.236033034551261e-08,2.8793573502254566e-09
0.41,model,-9.782340926965199e-09,-3.236484935437411e-08,2.9342252467176405e-09
0.42,model,-9.779493756379434e-09,-3.2369368363233465e-08,2.989093143186824e-09
0.43,model,-9.776646585806946e-09,-3.2373887372072235e-08,3.0439610394086403e-09
0.44,model,-9.773799415227632e-09,-3.237840638092229e-08,3.0988289357705295e-09
0.45,model,-9.770952244641336e-09,-3.23829253897839e-08,3.1536968322753436e-09
0.46,model,-9.768105074060457e-09,-3.2387444398637376e-08,3.208564728684306e-09
0.51,model,-9.75386922116263e-09,-3.2410039442901305e-08,3.4829042107295414e-09
0.52,model,-9.751022050601488e-09,-3.241455845172624e-08,3.5377721068089684e-09
0.53,model,-9.748174880033534e-09,-3.241907746056246e-08,3.592640003028187e-09
0.54,model,-9.745327709458575e-09,-3.242359646941026e-08,3.647507899390848e-09
0.55,model,-9.742480538889044e-09,-3.2428115478249914e-08,3.7023757956573387e-09
0.56,model,-9.739633368324643e-09,-3.2432634487081895e-08,3.7572436918335065e-09
0.57,model,-9.736786197753686e-09,-3.2437153495924735e-08,3.812111588144432e-09
0.58,model,-9.73393902718957e-09,-3.2441672504757185e-08,3.866979484332036e-09
0.63,model,-9.719703174381874e-09,-3.2464267548906004e-08,4.141318965148971e-09
0.64,model,-9.716856003819732e-09,-3.246878655773813e-08,4.196186861349427e-09
0.65,model,-9.714008833250582e-09,-3.2473305566581844e-08,4.2510547576933815e-09
0.66,model,-9.711161662707077e-09,-3.2477824575385304e-08,4.305922653551605e-09
0.67,model,-9.708314492152638e-09,-3.248234358420659e-08,4.360790549629023e-09
0.68,model,-9.705467321601107e-09,-3.2486862593023735e-08,4.415658445658841e-09
0.69,model,-9.702620151051454e-09,-3.249138160183836e-08,4.470526341660979e-09
0.7,model,-9.699772980484686e-09,-3.249590061068061e-08,4.525394238001446e-09
0.71,model,-9.696925809949147e-09,-3.250041961947377e-08,4.580262133748544e-09
0.72,model,-9.694078639399366e-09,-3.2504938628289996e-08,4.635130029778547e-09
0.73,model,-9.691231468854127e-09,-3.250945763709949e-08,4.689997925729516e-09
0.74,model,-9.68838429831077e-09,-3.251397664590645e-08,4.744865821652649e-09
0.75,model,-9.685537127757392e-09,-3.251849565472977e-08,4.799733717777444e-09
0.76,model,-9.682689957207515e-09,-3.252301466354802e-08,4.854601613843259e-09
0.77,model,-9.67984278667761e-09,-3.252753367233503e-08,4.909469509532659e-09
0.78,model,-9.676995616137273e-09,-3.253205268113906e-08,4.964337405431522e-09
0.82,model,-9.66560693399124e-09,-3.255012871633552e-08,5.183808988816676e-09
0.83,model,-9.66275976345636e-09,-3.25546477251332e-08,5.238676884652796e-09
0.84,model,-9.65991259290813e-09,-3.255916673395256e-08,5.293544780754636e-09
0.85,model,-9.657065422376145e-09,-3.256368574274659e-08,5.348412676551875e-09
0.86,model,-9.654218251857812e-09,-3.2568204751519424e-08,5.403280572094498e-09
0.87,model,-9.651371081328599e-09,-3.257272376030999e-08,5.458148467855265e-09
0.88,model,-9.648523910802285e-09,-3.25772427690964e-08,5.513016363568662e-09
0.89,model,-9.645676740273919e-09,-3.258176177788655e-08,5.56788425933011e-09
0.9,model,-9.64282956974847e-09,-3.258628078667255e-08,5.622752155043781e-09
0.91,model,-9.639982399225952e-09,-3.259079979545435e-08,5.677620050709496e-09
0.92,model,-9.637135228703027e-09,-3.2595318804237247e-08,5.732487946391478e-09
0.93,model,-9.634288058179702e-09,-3.259983781302128e-08,5.787355842089685e-09
0.94,model,-9.631440887660957e-09,-3.2604356821798485e-08,5.842223737708089e-09
0.95,model,-9.628593717141822e-09,-3.2608875830576785e-08,5.8970916333425016e-09
0.96,model,-9.625746546626393e-09,-3.261339483934965e-08,5.951959528913897e-09
0.97,model,-9.622899376107322e-09,-3.261791384812877e-08,6.00682742456399e-09
0.98,model,-9.620052205591957e-09,-3.2622432856902494e-08,6.061695320151165e-09
0.99,model,-9.617205035080306e-09,-3.262695186567076e-08,6.116563215675128e-09
1.0,model,-9.614357864558232e-09,-3.263147087445603e-08,6.1714311114084944e-09
1.01,model,-9.61151069405341e-09,-3.263598988321441e-08,6.2262990068178625e-09
1.02,model,-9.561456760638929e-09,-5.317865748951267e-07,7.378602973705114e-09
1.03,model,-9.510059828403421e-09,-1.938464435846119e-06,8.561824345359783e-09
1.04,model,-9.458760469012334e-09,-4.252672629080992e-06,9.742799460925525e-09
1.05,model,-9.407461097720197e-09,-7.474411254635298e-06,1.0923774847828579e-08
1.11,model,-9.099664809072361e-09,-4.586298208579303e-05,1.8009628515691516e-08
1.12,model,-9.048365417372373e-09,-5.543743373729124e-05,1.9190604353930635e-08
1.13,model,-8.997066022985293e-09,-6.591941582107601e-05,2.0371580251390217e-08
1.1400000000000001,model,-8.945766625588106e-09,-7.730892833712451e-05,2.1552556215506512e-08
1.15,model,-8.894467225258802e-09,-8.960597128545928e-05,2.2733532244484126e-08
1.16,model,-8.843167822028586e-09,-0.00010281054466608033,2.3914508337604603e-08
1.17,model,-8.791868416021297e-09,-0.0001169226484789729,2.5095484492017047e-08
1.18,model,-8.74056900695143e-09,-0.00013194228272414405,2.6276460714294147e-08
1.19,model,-8.689269595144547e-09,-0.00014786944740159433,2.745743699694096e-08
1.2,model,-8.637970180364764e-09,-0.00016470414251133073,2.8638413345387995e-08
1.21,model,-8.586670762689974e-09,-0.00018244636805333847,2.981938975784202e-08
1.22,model,-8.535371342103095e-09,-0.0002010961240276251,3.1000366234696164e-08
1.28,model,-8.227574757669731e-09,-0.00033205279895119285,3.8086226442659346e-08
1.29,model,-8.176275316733523e-09,-0.00035705526795143134,3.926720336950237e-08
1.3,model,-8.124988569919406e-09,-0.000382965267393459,4.044788805826381e-08
1.31,model,-8.073721919695833e-09,-0.0004097827972581427,4.162811009467126e-08
1.32,model,-8.022455247160899e-09,-0.00043750785755522227,4.280833264207655e-08
1.33,model,-7.971188571776106e-09,-0.0004661404482845731,4.398855525245284e-08
1.34,model,-7.919921893375287e-09,-0.0004956805694462105,4.5168777929625427e-08
1.35,model,-7.868655212208073e-09,-0.000526128221040119,4.6349000667847515e-08
1.3599999999999999,model,-7.81738852807426e-09,-0.0005574834030663064,4.752922347172804e-08
1.37,model,-7.766121841043033e-09,-0.0005897461155247724,4.8709446339674346e-08
1.42,model,-7.509788362422274e-09,-0.0007646726343012927,5.4610561640470186e-08
1.43,model,-7.458521657997746e-09,-0.0008023805293534316,5.5790784893013744e-08
1.44,model,-7.407254950614573e-09,-0.0008409959548378493,5.697100821103273e-08
1.46,model,-7.30472152729136e-09,-0.0009209493971035288,5.93314550361512e-08
1.47,model,-7.253454811292392e-09,-0.0009622874138847829,6.05116785446074e-08
1.48,model,-7.202188092552554e-09,-0.0010045329610983084,6.169190211352545e-08
1.49,model,-7.150921370747342e-09,-0.0010476860387441203,6.287212575037589e-08
1.5,model,-7.099654645872925e-09,-0.0010917466468222106,6.405234945524688e-08
1.51,model,-7.048387918329883e-09,-0.0011367147853325874,6.523257321891659e-08
1.5699999999999998,model,-6.740787491816044e-09,-0.001425581755472658,7.231391715575112e-08
1.58,model,-6.689520743993696e-09,-0.001476902607008971,7.349414136782119e-08
1.5899999999999999,model,-6.6382539931478214e-09,-0.001529130988977571,7.46743656468602e-08
1.6,model,-6.58698723963252e-09,-0.0015822669013784419,7.585458998471642e-08
1.6099999999999999,model,-6.535720482952405e-09,-0.0016363103442116065,7.703481439279422e-08
1.62,model,-6.48445372350102e-09,-0.0016912613174770502,7.821503886203367e-08
1.63,model,-6.433186961107546e-09,-0.0017471198211747498,7.939526339636734e-08
1.6400000000000001,model,-6.381920195825095e-09,-0.0018038858553047431,8.057548799457248e-08
1.65,model,-6.330653427683897e-09,-0.0018615594198670234,8.175571265595318e-08
1.6600000000000001,model,-6.2793866565378366e-09,-0.0019201405148615593,8.293593738387322e-08
1.67,model,-6.228119882559636e-09,-0.001979629140288397,8.411616217435628e-08
1.6800000000000002,model,-6.176853105758137e-09,-0.002040025296147498,8.52963870271988e-08
1.69,model,-6.1255863260970555e-09,-0.002101328982438878,8.647661194323608e-08
1.7,model,-6.074319543336463e-09,-0.002163540199162552,8.765683692799164e-08
1.71,model,-6.023052757880678e-09,-0.00222665894631849,8.883706197215754e-08
1.72,model,-5.971785969272499e-09,-0.0022906852239067063,9.001728708625904e-08
1.73,model,-5.920519178006792e-09,-0.002355619031927224,9.11975122589038e-08
1.74,model,-5.869252383789344e-09,-0.00242146037037999,9.237773749686493e-08
1.75,model,-5.817985586519048e-09,-0.0024882092392650426,9.35579628024701e-08
1.76,model,-5.7667187865958485e-09,-0.002555865638582382,9.473818816651199e-08
1.77,model,-5.715451983558163e-09,-0.0026244295683319923,9.59184135996169e-08
1.78,model,-5.664185177808687e-09,-0.002693901028513889,9.70986390925142e-08
1.79,model,-5.612918368934222e-09,-0.002764280019128072,9.827886465471626e-08
1.81,model,-5.51038474276342e-09,-0.0029077605916532517,1.0063931596509327e-07
1.8199999999999998,model,-5.459117925321827e-09,-0.002980862173564263,1.0181954171661214e-07
1.83,model,-5.407851105161662e-09,-0.003054871285907532,1.0299976752807959e-07
1.8399999999999999,model,-5.356584281863128e-09,-0.0031297879286831163,1.041799934091598e-07
1.85,model,-5.305320787323237e-09,-0.003205612101893358,1.0536014265519532e-07
1.8599999999999999,model,-5.2540623243516185e-09,-0.0032823438055334733,1.065401760653484e-07
1.87,model,-5.20280385901992e-09,-0.0033599830396058685,1.0772020952719772e-07
1.9100000000000001,model,-4.997769967911608e-09,-0.003679615280218267,1.1244034403384734e-07
1.92,model,-4.9465114878466755e-09,-0.0037617921664520634,1.1362037782169644e-07
1.9300000000000002,model,-4.895253005136404e-09,-0.0038448765831181316,1.1480041166780901e-07
1.97,model,-4.690219044598079e-09,-0.004186289554105213,1.1952054770957162e-07
1.98,model,-4.638960547225714e-09,-0.004273911622932682,1.2070058188004625e-07
1.99,model,-4.5877020468365474e-09,-0.00436244122219243,1.218806161173359e-07
2.0,model,-4.5364435436236485e-09,-0.00445187835188445,1.2306065041699585e-07
2.01,model,-4.485183845491925e-09,-0.004542212687014051,1.242407122225171e-07
2.02,model,-4.433922714059255e-09,-0.004633392602578622,1.2542080702174766e-07
2.03,model,-4.382661579699989e-09,-0.004725411215249741,1.2660090188571622e-07
2.07,model,-4.17761701455038e-09,-0.005101872636999819,1.3132128195321014e-07
2.08,model,-4.126355866547842e-09,-0.005198084735203726,1.325013771180849e-07
2.09,model,-4.0750947158111005e-09,-0.005295135530514191,1.3368147234326866e-07
2.1,model,-4.0238335622354886e-09,-0.00539302502293121,1.3486156763117097e-07
2.11,model,-3.972572406098163e-09,-0.00549175321245478,1.3604166297541134e-07
2.12,model,-3.921311247153326e-09,-0.005591320099084912,1.3722175838164828e-07
2.13,model,-3.870050085609887e-09,-0.005691725682821593,1.3840185384507248e-07
2.14,model,-3.818788921216236e-09,-0.005792969963664832,1.3958194937147637e-07
2.15,model,-3.767527754162179e-09,-0.005895052941614632,1.4076204495649033e-07
2.16,model,-3.7162665843518234e-09,-0.005997974616670966,1.4194214060232197e-07
2.17,model,-3.6650054118731343e-09,-0.006101734988833879,1.431222363069461e-07
2.18,model,-3.613744236713198e-09,-0.006206334058103332,1.4430233207066007e-07
2.19,model,-3.5624830588814867e-09,-0.0063117718244793414,1.4548242789324576e-07
2.23,model,-3.3574383199538573e-09,-0.006741909861048963,1.502028117926355e-07
2.24,model,-3.3061771285472207e-09,-0.0068515411129577534,1.5138290791455392e-07
2.25,model,-3.2549159342483893e-09,-0.006962011061973116,1.5256300410041854e-07
2.26,model,-3.203654737391904e-09,-0.007073319708095018,1.5374310034252776e-07
2.27,model,-3.15239353772234e-09,-0.007185467051323485,1.5492319664676173e-07
2.2800000000000002,model,-3.1011323354060218e-09,-0.0072984530916585,1.561032930092915e-07
2.29,model,-3.0498711304005206e-09,-0.007412277829100071,1.5728338943109374e-07
2.3,model,-2.998609922494112e-09,-0.007526941263648205,1.5846348591704275e-07
2.31,model,-2.947348712074096e-09,-0.007642443395302885,1.5964358245822237e-07
2.32,model,-2.8960874987965015e-09,-0.0077587842240641235,1.6082367906255114e-07
2.33,model,-2.8448262829143496e-09,-0.007875963749931922,1.6200377572420423e-07
2.34,model,-2.793565064260772e-09,-0.007993981972906282,1.6318387244702323e-07
2.35,model,-2.742303842904654e-09,-0.008112838892987183,1.6436396922942226e-07
2.36,model,-2.6910426188956824e-09,-0.008232534510174647,1.6554406607025754e-07
2.37,model,-2.63978139208596e-09,-0.008353068824468676,1.667241629729338e-07
2.38,model,-2.58852016249276e-09,-0.008474441835869267,1.6790425993705329e-07
2.39,model,-2.5372589303172064e-09,-0.00859665354437639,1.6908435695798603e-07
2.4,model,-2.4859976954438536e-09,-0.00871970394999007,1.7026445403838965e-07
2.41,model,-2.43473645786899e-09,-0.008843593052710298,1.714445511783496e-07
2.42,model,-2.383475217380274e-09,-0.008968320852537083,1.726246483827543e-07
2.43,model,-2.332213974305534e-09,-0.009093887349470422,1.7380474564405666e-07
2.44,model,-2.280952728644814e-09,-0.009220292543510318,1.749848429622557e-07
2.45,model,-2.229691480122055e-09,-0.009347536434656764,1.7616494034370663e-07
2.46,model,-2.1784302287938444e-09,-0.009475619022909788,1.7734503778710683e-07
2.4699999999999998,model,-2.127168974967904e-09,-0.009604540308269346,1.78525135285372e-07
2.48,model,-2.0759077181729784e-09,-0.00973430029073548,1.797052328493511e-07
2.49,model,-2.024646458934901e-09,-0.009864898970308143,1.808853304669388e-07
2.5,model,-1.9733851967302746e-09,-0.009996336346987399,1.820654281501844e-07
2.51,model,-1.9221239320588036e-09,-0.010128612420773182,1.8324552588758385e-07
2.56,model,-1.6658175673437269e-09,-0.010802573246300472,1.8914601548715088e-07
2.57,model,-1.6145562862095884e-09,-0.0109398815027256,1.9032611358772664e-07
2.58,model,-1.563295002472269e-09,-0.011078028456257273,1.9150621174559516e-07
2.59,model,-1.5120337159467927e-09,-0.011217014106895521,1.926863099650146e-07
2.6,model,-1.4607724267406253e-09,-0.011356838454640316,1.9386640824351117e-07
2.61,model,-1.409511134745497e-09,-0.011497501499491667,1.9504650658357727e-07
2.62,model,-1.3582498401368389e-09,-0.011639003241449574,1.962266049811743e-07
2.63,model,-1.3069885428065801e-09,-0.011781343680514039,1.9740670343879004e-07
2.64,model,-1.2557272426240873e-09,-0.011924522816685058,1.9858680195943207e-07
2.65,model,-1.2044659398489295e-09,-0.012068540649962633,1.997669005371246e-07
2.66,model,-1.153204634330185e-09,-0.012213397180346766,2.0094699917534215e-07
2.67,model,-1.101943326097797e-09,-0.012359092407837455,2.0212709787339526e-07
2.69,model,-9.994207015489235e-10,-0.012652998954138493,2.0448729544770012e-07
2.7,model,-9.481593851271844e-10,-0.012801210272948848,2.0566739432637486e-07
2.71,model,-8.968980659859526e-10,-0.012950260288865761,2.0684749326501995e-07
2.7199999999999998,model,-8.456367442263297e-10,-0.01310014900188923,2.0802759226130783e-07
2.73,model,-7.943754196541192e-10,-0.013250876412019249,2.092076913197092e-07
2.74,model,-7.431140924633168e-10,-0.013402442519255825,2.1038779043575784e-07
2.75,model,-6.918527625119574e-10,-0.013554847323598945,2.1156788961272233e-07
2.76,model,-6.405914297831942e-10,-0.013708090825048614,2.1274798885099024e-07
2.77,model,-5.893300945052911e-10,-0.013862173023604847,2.1392808814530663e-07
2.7800000000000002,model,-5.380687564071164e-10,-0.014017093919267636,2.1510818750191336e-07
2.79,model,-4.868074155910453e-10,-0.014172853512036973,2.1628828691845378e-07
2.8,model,-4.3554607202074343e-10,-0.014329451801912875,2.1746838639576412e-07
2.81,model,-3.8428472575544373e-10,-0.014486888788895333,2.1864848593248076e-07
2.82,model,-3.3302337686458007e-10,-0.014645164472984338,2.1982858552700538e-07
2.83,model,-2.8176202514647605e-10,-0.014804278854179908,2.210086851839809e-07
2.84,model,-2.3050067080379197e-10,-0.014964231932482025,2.221887848987415e-07
2.85,model,-1.7923931361504151e-10,-0.0151250237078907,2.2336888467638635e-07
2.86,model,-1.2797795384023955e-10,-0.015286654180405946,2.245489845109296e-07
2.87,model,-7.671659134978115e-11,-0.015449123350027733,2.2572908440535475e-07
2.88,model,-2.5455226102234472e-11,-0.015612431216756076,2.2690918436061564e-07
2.89,model,2.58061419063389e-11,-0.015776577780590984,2.28089284376803e-07
2.9,model,7.706751259944071e-11,-0.01594156304153244,2.2926938445215577e-07
2.91,model,1.2832888589195473e-10,-0.016107386999580458,2.304494845847143e-07
2.92,model,1.7959026202995956e-10,-0.016274049654735025,2.3162958478014388e-07
2.93,model,2.3085164090396846e-10,-0.01644155100699616,2.3280968503592386e-07
2.94,model,2.8211302253426595e-10,-0.016609891056363846,2.3398978535252122e-07
2.95,model,3.333744067126568e-10,-0.016779069802838074,2.35169885725143e-07
2.96,model,3.8463579361118915e-10,-0.016949087246418873,2.3634998615775004e-07
2.9699999999999998,model,4.358971832928867e-10,-0.01711994338710622,2.3753008665179307e-07
2.98,model,4.871585756573689e-10,-0.017291638224900135,2.387101872049614e-07
2.99,model,5.384199707694871e-10,-0.017464171759800595,2.3989028781874787e-07
3.0,model,5.896813687208307e-10,-0.017637543991807614,2.4107038849526107e-07
3.01,model,6.409431306505346e-10,-0.01781175268246786,2.4225049754836473e-07
3.02,model,6.922059432631962e-10,-0.017986770597233928,2.434306307868372e-07
3.03,model,7.43468760713982e-10,-0.01816258990151352,2.4461076413405327e-07
3.04,model,7.947315807838914e-10,-0.01833921059530665,2.4579089753892885e-07
3.05,model,8.459944037301096e-10,-0.01851663267861333,2.469710310073847e-07
3.06,model,8.972572289673609e-10,-0.018694856151433535,2.4815116452594695e-07
3.07,model,9.485200570884829e-10,-0.01887388101376729,2.493312981082634e-07
3.08,model,9.997828877140625e-10,-0.01905370726561458,2.5051143174559973e-07
3.09,model,1.0510457209559782e-09,-0.0192343349069754,2.516915654405314e-07
3.1,model,1.102308556710228e-09,-0.01941576393784977,2.5287169919066413e-07
3.11,model,1.153571395123394e-09,-0.019597994358237655,2.540518329993726e-07
3.12,model,1.2048342361654917e-09,-0.019781026168139097,2.5523196686596617e-07
3.13,model,1.2560970799418257e-09,-0.01996485936755407,2.5641210079286937e-07
3.14,model,1.3073599262317072e-09,-0.020149493956482578,2.5759223477500166e-07
3.15,model,1.358622775280047e-09,-0.02033492993492464,2.587723688180012e-07
3.19,model,1.5636741970546259e-09,-0.021084687743828198,2.6349290555255023e-07
3.2,model,1.614937059061473e-09,-0.021274130669837944,2.646730398806908e-07
3.21,model,1.666199923584398e-09,-0.02146437498536121,2.658531742641184e-07
3.22,model,1.7174627909521699e-09,-0.021655420690398035,2.670333087104023e-07
3.23,model,1.768725660753013e-09,-0.021847267784948374,2.682134432100625e-07
3.24,model,1.8199885331293009e-09,-0.022039916269012264,2.6939357776637663e-07
3.25,model,1.871251408262748e-09,-0.022233366142589688,2.705737123835278e-07
3.26,model,1.922514286075673e-09,-0.02242761740568066,2.71753847059728e-07
3.27,model,1.9737771662887497e-09,-0.022622670058285145,2.7293398178854663e-07
3.2800000000000002,model,2.0250400493571556e-09,-0.02281852410040318,2.741141165804627e-07
3.29,model,2.0763029348104573e-09,-0.02301517953203477,2.75294251424646e-07
3.3,model,2.1275658230975138e-09,-0.023212636353179886,2.7647438633142977e-07
3.31,model,2.178828713735535e-09,-0.023410894563838526,2.776545212896998e-07
3.32,model,2.2300916071674793e-09,-0.02360995416401072,2.788346563096535e-07
3.33,model,2.2813545032324316e-09,-0.023809815153696456,2.800147913875862e-07
3.34,model,2.3326174019322213e-09,-0.024010477532895716,2.811949265235403e-07
3.35,model,2.3838803030950773e-09,-0.024211941301608513,2.823750617135611e-07
3.36,model,2.435143206896828e-09,-0.02441420645983484,2.8355519696169667e-07
3.37,model,2.4864061133670843e-09,-0.024617273007574724,2.847353322686286e-07
3.38,model,2.5376690224577953e-09,-0.024821140944828134,2.859154676332506e-07
3.39,model,2.5889319342327454e-09,-0.025025810271595093,2.8709560305703116e-07
3.4,model,2.6401948486760077e-09,-0.025231280987875585,2.882757385396037e-07
3.41,model,2.6914577656255822e-09,-0.025437553093669612,2.8945587407723857e-07
3.42,model,2.7427206852185348e-09,-0.025644626588977173,2.9063600967309133e-07
3.43,model,2.793983607279019e-09,-0.025852501473798264,2.9181614532311376e-07
3.44,model,2.8452465319711085e-09,-0.026061177748132908,2.9299628103108293e-07
3.45,model,2.896509459455936e-09,-0.026270655411981085,2.941764168007085e-07
3.46,model,2.9477723895241322e-09,-0.026480934465342804,2.953565526271703e-07
3.4699999999999998,model,2.9990353220542826e-09,-0.026692014908218053,2.965366885076736e-07
3.48,model,3.050298257499965e-09,-0.026903896740606847,2.977168244526599e-07
3.49,model,3.1015611952662494e-09,-0.027116579962509164,2.988969604484336e-07
3.5,model,3.152824135697992e-09,-0.02733006457392503,3.000770965029335e-07
3.51,model,3.2040870788614314e-09,-0.027544350574854437,3.012572326176843e-07
3.56,model,3.4604018335908633e-09,-0.028627801422204502,3.071579140477071e-07
3.57,model,3.511664792376493e-09,-0.028846895760215128,3.0833805050628434e-07
